text,word_count,summary,classification,Framework,framework_Name,doc_name,doc_link,fileTitle
xx use the following words to describe your position:  accredited supplier  chosen supplier  endorsed supplier  selected supplier x x describe your agreement as a “contract” xx present the indicative potential spend value stated in the OJEU notice as committed spend xx refer to your score or ranking in the tender process in any marketing and communications materials.,61,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
"Once awarded all suppliers are considered to be equal x x refer to goods or services that you offer but that are not available under the terms of your agreement Always include specific benefits related to the goods/services you offer in your actual savings where possible. Notes to Editors Include the following text in the ‘Notes To Editors’ section of your press release: Crown Commercial Service (CCS) is an Executive Agency of the Cabinet Office, supporting the public sector to achieve maximum commercial value when procuring common goods and services.",90,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
"To find out more about CCS, visit: www.crowncommercial.gov.uk Follow us on Twitter: @gov_procurement LinkedIn: www.linkedin.com/company/2827044 47319-23 (July 23)This document and the materials herein are subject to Crown copyright protection under Section 163 of the Copyright Designs and Patents Act 1988.Case studies Please take the time to develop case studies to showcase the benefits of the agreement and the savings customers have successfully achieved by working with you, as these will help other customers make the commitment to use the framework.",80,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
"We encourage you to work with your category manager to develop your case studies and a template is provided in this toolkit to help you. Completed case studies should be sent to your category manager and, once approved, will be added to our website and used in our customer communications. You can also use them in your marketing activity.We hope you find this toolkit useful and we welcome your feedback.",70,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
If you have any suggestions on how to further develop the toolkit to help you in your marketing and communications please email your comments and suggestions to: info@crowncommercial.gov.uk using the email subject line: marketing toolkit,35,"Global Theme: Supplier marketing toolkit guidance for Crown Commercial Service (CCS) suppliers.

Key Topics: 
- Proper use of the CCS supplier logo
- Press release and communication guidelines
- Describing the CCS and supplier agreements
- Dos and Don'ts for promoting supplier positions
- Creating and using case studies
- Contact information and additional resources for feedback.

Summary:
The document titled ""7319 23 supplier marketing toolkit 1"" provides comprehensive guidance for Crown Commercial Service (CCS) suppliers on how to effectively market their position to the public sector. It includes information on proper use of the CCS supplier logo, press release and communication strategies, and accurately describing supplier agreements. The toolkit outlines dos and don'ts for promoting the supplier's position, emphasizing accurate representation and factual correctness. It also advises on developing case studies to highlight the benefits and savings achieved through the frameworks. The framework number is RM1043.8 and the framework name is Digital Outcomes 6.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,It appears that the content you provided does not include a URL. Please provide the specific text that contains the URL you want to extract.,7319-23-supplier-marketing-toolkit-1
"Benefits of using the RM1043.8 (Digital Outcomes 6) agreement offers bespoke services through suppliers with the right capabilities to meet your needs no restriction on the value of an individual call-off contract (the agreement has an overall Find a Tender Service (FTS) value of £813 million) our further competition process allows you to get the best supplier to meet your users needs the agreement terms and conditions follow the Public Sector Contract format, and you have scope to make changes to your call-off contract (depending on the complexity of your needs) you own the intellectual property rights and source code for the bespoke development, so you can share and re-use these with other public sector buyers our suppliers are mostly",120,"Global Theme: The benefits of using the Digital Outcomes 6 (RM1043.8) agreement for procuring digital services.

Key Topics:
- Tailored services from capable suppliers.
- No individual call-off contract value limits.
- Competitive procurement to find the best supplier.
- Flexible contract terms using the Public Sector Contract format.
- Ownership and reusability of intellectual property rights.
- Predominantly agile small and medium-sized business suppliers.

Summary: The ""Benefits of using the RM1043.8 (Digital Outcomes 6) agreement"" document outlines the advantages of employing the Digital Outcomes 6 framework for acquiring digital services. It highlights the provision of customized services from adept suppliers without value restrictions on individual contracts, ensuring flexibility and suitability. The framework encourages competitive procurement processes and offers adaptable contract terms. Users maintain ownership of intellectual property, facilitating sharing and reuse across the public sector. The suppliers primarily consist of agile small and medium-sized businesses, enhancing innovation and responsiveness.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\Benefits RM1043_8.txt,"It appears that there is no URL provided in the content you shared. Please provide the text containing the URL, and I will extract it for you.",Benefits rm1043 8
you can share and re-use these with other public sector buyers our suppliers are mostly small and medium sized businesses that use an agile approach when designing your digital products or services,32,"Global Theme: The benefits of using the Digital Outcomes 6 (RM1043.8) agreement for procuring digital services.

Key Topics:
- Tailored services from capable suppliers.
- No individual call-off contract value limits.
- Competitive procurement to find the best supplier.
- Flexible contract terms using the Public Sector Contract format.
- Ownership and reusability of intellectual property rights.
- Predominantly agile small and medium-sized business suppliers.

Summary: The ""Benefits of using the RM1043.8 (Digital Outcomes 6) agreement"" document outlines the advantages of employing the Digital Outcomes 6 framework for acquiring digital services. It highlights the provision of customized services from adept suppliers without value restrictions on individual contracts, ensuring flexibility and suitability. The framework encourages competitive procurement processes and offers adaptable contract terms. Users maintain ownership of intellectual property, facilitating sharing and reuse across the public sector. The suppliers primarily consist of agile small and medium-sized businesses, enhancing innovation and responsiveness.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\Benefits RM1043_8.txt,"It appears that there is no URL provided in the content you shared. Please provide the text containing the URL, and I will extract it for you.",Benefits rm1043 8
"RM1043.8 (Digital Outcomes 6) description: Find suppliers who can design and build bespoke digital products and services using an agile approach. These digital services can be provided by 1 person or by a team. You can also use this agreement to find: studio space to conduct user research users with the appropriate characteristics to test your service This new agreement will run alongside RM6263 Digital Specialists and Programmes. Together they will replace RM1043.7 Digital Outcomes and Specialists 5. The agreement will run for 24 months, with an optional 12 month extension.",91,"Global Theme: [Digital procurement and service design]

Key Topics:
- Finding suppliers for digital product and service design
- Agile approach in digital services
- User research and user testing
- Studio space provision
- Duration and extension of agreement
- Replacement of previous framework agreement

Summary: The document titled ""Digital Outcomes 6 RM1043.8"" describes a procurement framework designed to help organizations find suppliers who can design and build bespoke digital products and services using an agile methodology. This framework allows for services to be provided by either individuals or teams, and includes provisions for studio space to conduct user research and for finding users to test the service. The RM1043.8 agreement will run for 24 months, with an optional 12-month extension, and is intended to replace the previous RM1043.7 framework alongside RM6263 Digital Specialists and Programmes.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\Description RM1043_8.txt,"Sure, here's the URL extracted from the content you provided:

Source URL:",Description rm1043 8
"This is a further competition only agreement. There is no option to direct award. Each procurement can only be awarded to a single supplier. You must publish your requirements (Invitation to Tender) on Contract Award Service (CAS). This is a new service from CCS and can be accessed through your Public Procurement Gateway (PPG) account. All suppliers awarded a place on the agreement, and registered on the platform, will be able to view and respond to your requirements. For lots 1 and 3 you must follow a two-stage further competition process (stage 1: shortlisting and stage 2: further assessment).",99,"Global Theme: Procurement process within the CCS framework.

Key Topics: 
1. Framework agreement terms
2. Requirement publication on Contract Award Service
3. Two-stage and one-stage further competition processes
4. Steps to run a further competition

Summary: The document outlines the procurement process according to the CCS framework agreement for Digital Outcomes 6 (RM1043.8). It details that each procurement must go through a further competition without direct awards and must be published on the Contract Award Service (CAS) through the Public Procurement Gateway (PPG). The document specifies different competition processes for different lots, emphasizing a two-stage process for lots 1 and 3, and a one-stage process for lot 2. Additionally, it provides a step-by-step guide for running a further competition, including requirement drafting, publication, supplier feedback, and contract awarding.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\How to buy steps RM1043_8.txt,There is no URL mentioned in the provided content.,How to buy steps rm1043 8
For lot 2 you can follow a one-stage further competition process (having first created a supplier shortlist by filtering against the studio attributes required). The basic steps to run a further competition for this agreement are:,36,"Global Theme: Procurement process within the CCS framework.

Key Topics: 
1. Framework agreement terms
2. Requirement publication on Contract Award Service
3. Two-stage and one-stage further competition processes
4. Steps to run a further competition

Summary: The document outlines the procurement process according to the CCS framework agreement for Digital Outcomes 6 (RM1043.8). It details that each procurement must go through a further competition without direct awards and must be published on the Contract Award Service (CAS) through the Public Procurement Gateway (PPG). The document specifies different competition processes for different lots, emphasizing a two-stage process for lots 1 and 3, and a one-stage process for lot 2. Additionally, it provides a step-by-step guide for running a further competition, including requirement drafting, publication, supplier feedback, and contract awarding.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\How to buy steps RM1043_8.txt,There is no URL mentioned in the provided content.,How to buy steps rm1043 8
1. prepare a draft of your requirements 2. get approval to buy what you need 3. write and publish your requirements on Contract Award Service 4. answer supplier questions 5. review and score ‘essential’ and ‘nice-to-have’ skills and experience to create your shortlist 6. give feedback to suppliers who are not shortlisted 7. invite shortlisted suppliers to the further assessment stage 8. evaluate technical and pricing proposals and your chosen additional assessment methods to find the right supplier for your needs 9. award a contract and give feedback to unsuccessful suppliers 10. publish the contract on Contracts Finder,98,"Global Theme: Procurement process within the CCS framework.

Key Topics: 
1. Framework agreement terms
2. Requirement publication on Contract Award Service
3. Two-stage and one-stage further competition processes
4. Steps to run a further competition

Summary: The document outlines the procurement process according to the CCS framework agreement for Digital Outcomes 6 (RM1043.8). It details that each procurement must go through a further competition without direct awards and must be published on the Contract Award Service (CAS) through the Public Procurement Gateway (PPG). The document specifies different competition processes for different lots, emphasizing a two-stage process for lots 1 and 3, and a one-stage process for lot 2. Additionally, it provides a step-by-step guide for running a further competition, including requirement drafting, publication, supplier feedback, and contract awarding.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\How to buy steps RM1043_8.txt,There is no URL mentioned in the provided content.,How to buy steps rm1043 8
CCS Strapline: 'Power to your procurement'RM1043.8 Digital Outcomes 6Buyer GuideCCS decorative logo and graphic circlesCategoryDescriptionAgreement IDRM1043.8 Agreement nameDigital Outcomes 6Agreement duration24 months with the possibility to extend by up to 12 months.Start date28 June 2022End date27 June 2024Maximum contract lengthContracts placed under this agreement will have a maximum duration of 24 months.,52,"Global Theme: Procurement process for digital services in the public sector.

Key Topics:
1. Agreement details including duration and scope.
2. Procurement process steps.
3. Different categories of services provided (Digital outcomes, User research studios, User research participants).
4. Scoring system for evaluating suppliers.
5. Compliance requirements and contract signing.

Summary: The document titled ""RM1043.8 DOS 6 Buyer Guide v1.1"" outlines the Digital Outcomes 6 framework (RM1043.8), focusing on the procurement process for agile development and user-centered design services within the public sector. It provides detailed steps for accessing the agreement, engaging with suppliers, creating specifications, shortlisting, further assessment, awarding decisions, and completing call-off contracts. The framework is categorized into three lots—Digital outcomes, User research studios, and User research participants—with specific procurement instructions for each. It emphasizes the importance of a structured evaluation approach, compliance with regulations, and maintaining transparency throughout the procurement process.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P16_Webpilot_API\Data\RM1043.8\RM1043.8-DOS-6-Buyer-Guide-v1.1.odt,https://www.contractsfinder.service.gov.uk/Notice/8b307ed4-1d15-401b-bcf3-bd9d57aed4e3,Rm1043.8-dos-6-buyer-guide-v1.1
