,id,Classification
88,RM10438_Framework-Schedule-7-Call-Off-Award-Procedure-v10--20250626-1255,details
89,RM10438_Framework-Schedule-7-Call-Off-Award-Procedure-v10--20250626-1275,details
90,RM10438_Framework-Schedule-7-Call-Off-Award-Procedure-v10--20250626-1277,details
91,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1285,details
92,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1296,details
93,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1311,details
94,RM10438_Core-Terms-v3011--20250626-917,details
95,RM10438_Core-Terms-v3011--20250626-928,details
96,RM10438_Core-Terms-v3011--20250626-940,details
97,RM10438_Core-Terms-v3011--20250626-974,details
98,RM10438_Core-Terms-v3011--20250626-990,details
99,RM10438_Core-Terms-v3011--20250626-994,details
100,RM10438_Framework-Award-Form-v20-1--20250626-1006,details
101,RM10438_Framework-Award-Form-v20-1--20250626-1014,details
102,RM10438_Framework-Award-Form-v20-1--20250626-1030,details
103,RM10438_Framework-Schedule-1-Specification-v10-1--20250626-1054,details
104,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1314,details
105,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1322,details
106,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1330,details
107,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1342,details
108,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1353,details
109,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1363,details
110,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1377,details
111,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1379,details
112,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1388,details
113,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1408,details
114,RM10438_Joint-Schedule-1-Definitions-v10--20250626-1417,details
115,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1430,details
116,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1435,details
117,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1438,details
118,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1447,details
119,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1477,details
120,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1478,details
121,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1480,details
122,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1489,details
123,RM10438_Joint-Schedule-11-Processing-Data-v10--20250626-1491,details
124,RM10438_Joint-Schedule-8-Guarantee-v10--20250626-1621,details
125,RM6098-Aggregation-case-studies-v4-1--20250626-1641,details
126,RM6098-Aggregation-case-studies-v4-1--20250626-1644,details
127,RM6098-Aggregation-case-studies-v4-1--20250626-1652,details
128,RM6098-Aggregation-case-studies-v4-1--20250626-1653,details
129,RM6098-Aggregation-case-studies-v4-1--20250626-1655,details
130,RM6098-Buyer-guidance-to-the-public-sector-contract-v41_1--20250626-1693,details
131,RM6098-Buyer-guidance-to-the-public-sector-contract-v41_1--20250626-1700,details
132,RM6098-Buyer-guidance-to-the-public-sector-contract-v41_1--20250626-1716,details
133,RM10438_Joint-Schedule-3-Insurance-Requirements-v10--20250626-1523,details
134,RM10438_Joint-Schedule-4-Commercially-Sensitive-Information-v10--20250626-1532,details
135,RM10438_Joint-Schedule-6-Key-Subcontractors-v10--20250626-1551,details
136,RM10438_Joint-Schedule-7-Financial-Difficulties-v10--20250626-1554,details
137,RM10438_Joint-Schedule-7-Financial-Difficulties-v10--20250626-1560,details
138,RM10438_Joint-Schedule-8-Guarantee-v10--20250626-1582,details
139,RM10438_Joint-Schedule-8-Guarantee-v10--20250626-1597,details
140,RM10438_Joint-Schedule-8-Guarantee-v10--20250626-1604,details
141,RM6098-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-1931,details
142,RM6098-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-1934,details
143,RM6098-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-1940,details
144,RM6098-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-1941,details
145,RM6098-Call-Off-Schedule-14-Service-Levels-v10--20250626-1943,details
146,RM6098-Call-Off-Schedule-14-Service-Levels-v10--20250626-1952,details
147,RM6098-Call-Off-Schedule-16-Benchmarking-v10--20250626-1966,details
148,RM6098-Call-Off-schedule-17-MOD-terms-v11--20250626-1984,details
149,RM6098-Call-Off-Schedule-18-Background-Checks-v10--20250626-1997,details
150,RM6098-Buyer-guide-v81_1--20250626-1818,details
151,RM6098-Buyer-guide-v81_1--20250626-1819,details
152,RM6098-Buyer-guide-v81_1--20250626-1822,details
153,RM6098-Call-Off-Schedule-10-Exit-Management-v20--20250626-1843,details
154,RM6098-Call-Off-Schedule-10-Exit-Management-v20--20250626-1847,details
155,RM6098-Call-Off-Schedule-10-Exit-Management-v20--20250626-1864,details
156,RM6098-Call-Off-Schedule-10-Exit-Management-v20--20250626-1866,details
157,RM6098-Call-Off-Schedule-12-Clustering-v10--20250626-1878,details
158,RM6098-Call-Off-Schedule-12-Clustering-v10--20250626-1880,details
159,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2048,details
160,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2056,details
161,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2060,details
162,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2073,details
163,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2076,details
164,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2079,details
165,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2110,details
166,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2116,details
167,RM6098-Buyer-guidance-to-the-public-sector-contract-v41_1--20250626-1732,details
168,RM6098-Buyer-guide-v81_1--20250626-1747,details
169,RM6098-Buyer-guide-v81_1--20250626-1804,details
170,RM6098-Buyer-guide-v81_1--20250626-1810,details
171,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2330,details
172,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2334,details
173,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2371,details
174,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2378,details
175,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2384,details
176,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2386,details
177,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2393,details
178,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2397,details
179,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2421,details
180,RM6098-Call-Off-Schedule-22-Lease-Terms-OPERATIONAL-LEASE-v11--20250626-2422,details
181,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2260,details
182,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2264,details
183,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2275,details
184,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2278,details
185,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2286,details
186,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2295,details
187,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2302,details
188,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2308,details
189,RM6098-Call-Off-Schedule-22-Lease-Terms-FINANCIAL-LEASE-v11--20250626-2317,details
190,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2124,details
191,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2125,details
192,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2147,details
193,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2167,details
194,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2193,details
195,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2196,details
196,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2216,details
197,RM6098-Call-Off-Schedule-2-Staff-Transfer-v10-1--20250626-2217,details
198,RM6098-Call-Off-Schedule-22-Lease-Terms-v21--20250626-2473,details
199,RM6098-Call-Off-Schedule-22-Lease-Terms-v21--20250626-2478,details
200,RM6098-Call-Off-Schedule-22-Lease-Terms-v21--20250626-2518,details
201,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2741,details
202,RM6098-Call-Off-Schedule-6-ICT-Services-v20-1--20250626-2745,details
203,RM6098-Call-Off-Schedule-6-ICT-Services-v20-1--20250626-2749,details
204,RM6098-Call-Off-Schedule-6-ICT-Services-v20-1--20250626-2771,details
205,RM6098-Call-Off-Schedule-6-ICT-Services-v20-1--20250626-2785,details
206,RM6098-Call-Off-Schedule-6-ICT-Services-v20-1--20250626-2797,details
207,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2819,details
208,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2676,details
209,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2677,details
210,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2697,details
211,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2698,details
212,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2705,details
213,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2715,details
214,RM6098-Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-2628,details
215,RM6098-Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-2629,details
216,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2639,details
217,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2657,details
218,RM6098-Call-Off-Schedule-6-Annex-E-As-a-Service-additional-terms-v20--20250626-2670,details
219,RM6098-Call-Off-Schedule-22-Lease-Terms-v21--20250626-2537,details
220,RM6098-Call-Off-Schedule-22-Lease-Terms-v21--20250626-2541,details
221,RM6098-Call-Off-Schedule-22-Lease-Terms-v21--20250626-2549,details
222,RM6098-Call-Off-Schedule-23-HMRC-Terms-v10--20250626-2612,details
223,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2932,details
224,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2943,details
225,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2947,details
226,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2961,details
227,RM6098-Case-studies-v5_2--20250626-2967,details
228,RM6098-Case-studies-v5_2--20250626-2971,details
229,RM6098-Case-studies-v5_2--20250626-2982,details
230,RM6098-Case-studies-v5_2--20250626-2987,details
231,RM6098-Case-studies-v5_2--20250626-2989,details
232,RM6098-Case-studies-v5_2--20250626-3001,details
233,RM6098-Core-terms-v3011-1--20250626-3021,details
234,RM6098-Core-terms-v3011-1--20250626-3024,details
235,RM6098-Core-terms-v3011-1--20250626-3025,details
236,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2833,details
237,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2848,details
238,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2853,details
239,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2857,details
240,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2868,details
241,RM6098-Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-2869,details
242,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2876,details
243,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2877,details
244,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2887,details
245,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2890,details
246,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2914,details
247,RM6098-Call-Off-Schedule-9-Security-v10--20250626-2922,details
248,RM6098-Expression-of-interest-template-v2--20250626-3141,details
249,RM6098-Framework-Award-Form-v20--20250626-3153,details
250,RM6098-Framework-schedule-1-specification-v41--20250626-3177,details
251,RM6098-Framework-schedule-1-specification-v41--20250626-3198,details
252,RM6098-Framework-schedule-1-specification-v41--20250626-3200,details
253,RM6098-Framework-schedule-1-specification-v41--20250626-3202,details
254,RM6098-Framework-schedule-1-specification-v41--20250626-3215,details
255,RM6098-Framework-schedule-1-specification-v41--20250626-3228,details
256,RM6098-Core-terms-v3011-1--20250626-3037,details
257,RM6098-Core-terms-v3011-1--20250626-3057,details
258,RM6098-Core-terms-v3011-1--20250626-3070,details
259,RM6098-Core-terms-v3011-1--20250626-3072,details
260,RM6098-Core-terms-v3011-1--20250626-3091,details
261,RM6098-Expression-of-interest-template-v2--20250626-3127,details
262,RM6098-Expression-of-interest-template-v2--20250626-3129,details
263,RM6098-Framework-Schedule-5-Management-Charges-and-Information-v10--20250626-3333,details
264,RM6098-Framework-Schedule-5-Management-Charges-and-Information-v10--20250626-3335,details
265,RM6098-Framework-schedule-6-order-form-template-and-call-off-schedules-v31--20250626-3347,details
266,RM6098-Framework-Schedule-7-Call-Off-Award-Procedure-v2--20250626-3375,details
267,RM6098-Framework-Schedule-7-Call-Off-Award-Procedure-v2--20250626-3379,details
268,RM6098-Framework-Schedule-7-Call-Off-Award-Procedure-v2--20250626-3381,details
269,RM6098-Framework-Schedule-7-Call-Off-Award-Procedure-v2--20250626-3384,details
270,RM6098-Framework-Schedule-8-Self-Audit-Certificate-v10--20250626-3403,details
271,RM6098-Framework-Schedule-8-Self-Audit-Certificate-v10--20250626-3405,details
272,RM6098-Invitation-to-tender-template-v3--20250626-3413,details
273,RM6098-Invitation-to-tender-template-v3--20250626-3419,details
274,RM6098-Invitation-to-tender-template-v3--20250626-3420,details
275,RM6098-Invitation-to-tender-template-v3--20250626-3426,details
276,RM6098-Invitation-to-tender-template-v3--20250626-3428,details
277,RM6098-Framework-schedule-1-specification-v41--20250626-3245,details
278,RM6098-Framework-schedule-1-specification-v41--20250626-3256,details
279,RM6098-Framework-schedule-1-specification-v41--20250626-3264,details
280,RM6098-Framework-schedule-1-specification-v41--20250626-3268,details
281,RM6098-Framework-Schedule-3-Framework-Prices-v20--20250626-3281,details
282,RM6098-Framework-Schedule-3-Framework-Prices-v20--20250626-3283,details
283,RM6098-Framework-Schedule-3-Framework-Prices-v20--20250626-3284,details
284,RM6098-Framework-Schedule-3-Framework-Prices-v20--20250626-3290,details
285,RM6098-Framework-Schedule-4-Framework-Management-v20--20250626-3297,details
286,RM6098-Framework-Schedule-4-Framework-Management-v20--20250626-3303,details
287,RM6098-Framework-Schedule-4-Framework-Management-v20--20250626-3318,details
288,RM6098-Framework-Schedule-4-Framework-Management-v20--20250626-3320,details
289,RM6098-Joint-Schedule-2-Variation-Form-v10--20250626-3593,details
290,RM6098-Joint-Schedule-2-Variation-Form-v10--20250626-3594,details
291,RM6098-Joint-Schedule-3-Insurance-Requirements-v10--20250626-3600,details
292,RM6098-Joint-Schedule-5-Corporate-Social-Responsibility-v30-1--20250626-3611,details
293,RM6098-Joint-Schedule-6-Key-Subcontractors-v10--20250626-3626,details
294,RM6098-Joint-Schedule-6-Key-Subcontractors-v10--20250626-3628,details
295,RM6098-Joint-Schedule-6-Key-Subcontractors-v10--20250626-3635,details
296,RM6098-Invitation-to-tender-template-v3--20250626-3436,details
297,RM6098-Invitation-to-tender-template-v3--20250626-3447,details
298,RM6098-Joint-Schedule-1-Definitions-v10--20250626-3469,details
299,RM6098-Joint-Schedule-11-processing-data-v20--20250626-3487,details
300,RM6098-Joint-Schedule-11-processing-data-v20--20250626-3510,details
301,RM6098-Joint-Schedule-8-Guarantee-for-PSC-v10--20250626-3745,details
302,RM6098-Joint-Schedule-9-Minimum-Standards-of-Reliability-v10--20250626-3756,details
303,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3761,details
304,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3762,details
305,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3768,details
306,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3769,details
307,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3783,details
308,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3785,details
309,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3792,details
310,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3809,details
311,RM6098-Leasing-tech-hardware-best-practice-process-v28-1--20250626-3813,details
312,RM6098-Market-engagement-best-practice-process-v27--20250626-3816,details
313,RM6098-Market-engagement-best-practice-process-v27--20250626-3829,details
314,RM6098-Model-Contract-Pack-v3--20250626-3955,details
315,RM6098-Model-Contract-Pack-v3--20250626-3960,details
316,RM6098-Model-Contract-Pack-v3--20250626-3964,details
317,RM6098-Model-Contract-Pack-v3--20250626-3972,details
318,RM6098-Model-Contract-Pack-v3--20250626-3980,details
319,RM6098-Model-Contract-Pack-v3--20250626-4004,details
320,RM6098-Model-Contract-Pack-v3--20250626-4005,details
321,RM6098-Model-Contract-Pack-v3--20250626-4007,details
322,RM6098-Model-Contract-Pack-v3--20250626-4012,details
323,RM6098-Model-Contract-Pack-v3--20250626-4018,details
324,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3655,details
325,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3662,details
326,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3688,details
327,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3700,details
328,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3703,details
329,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3713,details
330,RM6098-Joint-Schedule-7-Financial-Difficulties-v34--20250626-3719,details
331,RM6098-Market-engagement-best-practice-process-v27--20250626-3841,details
332,RM6098-Model-Contract-Pack-v3--20250626-3854,details
333,RM6098-Model-Contract-Pack-v3--20250626-3880,details
334,RM6098-Model-Contract-Pack-v3--20250626-3881,details
335,RM6098-Model-Contract-Pack-v3--20250626-3909,details
336,RM6116-Call-Off-Schedule-12-Clustering-vFinal--20250626-4369,details
337,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4392,details
338,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4401,details
339,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4402,details
340,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4411,details
341,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4417,details
342,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4424,details
343,RM6116-Call-Off-Schedule-13-Implementation-Plan-and-Testing-v11--20250626-4430,details
344,RM6116-Call-Off-Schedule-14-Service-Levels-vFinal11--20250626-4437,details
345,RM6116-Call-Off-Schedule-14-Service-Levels-vFinal11--20250626-4443,details
346,RM6098-Model-Contract-Pack-v3--20250626-4170,details
